Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
US20050011939,21.01.2005,Pizza box,"[10889835 2004-07-13T23:59:59.000Z US, 60487171 2003-07-14T23:59:59.000Z US, 60539943 2004-01-29T23:59:59.000Z US]",B65D 43/08;B26D 5/42;B65D 5/20;B65D 5/20;B65D 5/30;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,NA,Angelopoulos Evangelos;Moschetta Dolores,NA
US5169058,09.12.1992,Pizza tote,NA,B65D 5/46;B65D 5/46;B65D 5/472;B65D 85/30;B65D 85/36,SAMPLE LEOLA,Sample Leola,NA
US5256432,27.10.1993,Method of making pizza with a pizza toppings disk,"[07613249 1990-11-13T23:59:59.000Z US, 07798070 1991-11-20T23:59:59.000Z US]",A23P 1/08;A21C 9/00;A21C 9/04,"Pizza Hut, Inc.",McDonald Jane M.;Bingham Lynn R.;Higgins Lori B.;Jennings Kathryn M.;Koeppe Susan;O'Neill Edward,NA
CA1126524,30.06.1982,PIZZA PAN,NA,A47J 37/10;A21B 3/15;A47J 36/02,NA,"HAMPEL, VERA",NA
CA2336424,02.09.2001,PIZZA PACKAGING SYSTEM AND METHOD,"[09/517,065 2000-03-01T23:59:59.000Z US]",B65D 5/49;B65D 85/36,"TULKOFF, MARTIN","TULKOFF, MARTIN",NA
US6286708,12.09.2001,Pizza pan,"[08406311 1995-03-17T23:59:59.000Z US, 08406313 1995-03-17T23:59:59.000Z US, 08573929 1995-12-18T23:59:59.000Z US, 09148004 1998-09-04T23:59:59.000Z US]",B65D 6/28;A21B 3/00;A21B 3/13,"Pizza Hut, Inc.","Scheibmeir, Patricia;McDaniel, Deborah;Woodward, Steve;Proctor, Valerie",NA
US3982033,22.09.1976,Process for coating pizza shells with sauce,[04880880 1969-11-28T23:59:59.000Z US],A21C 9/00;A21C 9/04;A21D 13/00;A21D 13/00;A23G 3/02;A23G 3/02;A23G 3/20,Fairmont Foods Company,Zito Santo,NA
US5997924,08.12.1999,Automated process for making pizza,NA,A21C 9/08;A21C 11/00;A21C 11/00;G07F 9/10;G07F 9/10,"LMO Consultants, Inc.",Olander William T.;Lucnik Joseph W.;Martin Robert C.,NA
US20140087032,28.03.2014,Pizza Kit and Method for Making Pizza,NA,A21D 13/00,Gallo Thomas A.;GALLO LEA ORGANICS LLC;Devitt Susan,Gallo Thomas A.;Devitt Susan,NA
CA2102085,14.08.1994,PIZZA TRAY,"[017,250 1993-02-12T23:59:59.000Z US]",B65D 5/22;B65D 5/20,NA,"FRANCE, STEPHEN L.",NA
US4506652,27.03.1985,Pizza oven,NA,A21B 1/44;A21B 1/00;A21B 1/44,Nieco Corporation,Baker Edward D.;Lang-Ree Nils;Johnson Ralph K.,NA
US20110262590,28.10.2011,Pizza Kit and Method for Making Pizza,NA,A21D 8/04;A21D 10/02,GALLO LEA ORGANICS LLC,Gallo Thomas A.;Devitt Susan,NA
EP1238588,12.09.2002,Microwaveable pizza crust,[67948400 2000-10-04T23:59:59.000Z US],A21D 13/00;A21D 2/16;A21D 2/18;A21D 10/00,KRAFT FOODS HOLDINGS INC,MCPHERSON ANDREW E;CHEN WEIZHI;AKASHE AHMAD;MILLER MIRANDA,NA
US20140008265,10.01.2014,Musical pizza box,NA,A45C 11/20,Ruggiero Gaetano Francesco,Ruggiero Gaetano Francesco,NA
US5253565,20.10.1993,Pizza construction and apparatus,NA,A47J 37/06;A47J 37/06;A47J 37/06,BURTON GARY B,Burton Gary B.,NA
US20050028388,11.02.2005,Pizza cutter,[10635457 2003-08-07T23:59:59.000Z US],B26B 3/00;B26B 25/00;B26B 25/00,NA,Liu Ming-Chien,NA
US6627242,01.10.2003,Microwaveable pizza crust,[09679484 2000-10-04T23:59:59.000Z US],A21D 10/02;A21D 2/00;A21D 2/16;A21D 2/18;A21D 10/00;A21D 10/00;A21D 13/00;A21D 13/00,"Kraft Foods Holdings, Inc.","McPherson, Andrew E.;Chen, Weizhi;Akashe, Ahmad;Miller, Miranda",NA
US6851603,09.02.2005,Pizza box,[10745235 2003-12-22T23:59:59.000Z US],B65D 5/42;B65D 5/42;B65D 5/42;B65D 5/44;B65D 5/52;B65D 5/64;B65D 5/66,"Papa John's International, Inc.",Carlson Robert C.;Glock Owen;Tilley Dana M.;Knierim Stanley E.;Bailey Melissa M.,NA
US4883195,29.11.1989,Pizza container,NA,B65D 8/04;B65D 8/18;B65D 21/02;B65D 21/02;B65D 43/02;B65D 43/02;B65D 43/16;B65D 43/16;B65D 51/16;B65D 51/16;B65D 81/34;B65D 81/34;B65D 85/30;B65D 85/36,"Restaurant Technology, Inc.",Ott Edward L.;Conway Timothy F.;Kubala Thomas S.,NA
US20120060373,16.03.2012,Pizza slice cutting stamp,NA,A21C 15/04,Spreen Ryan P.,Spreen Ryan P.,NA
US20070141205,22.06.2007,Method of preparing pizza,"[11644585 2006-12-21T23:59:59.000Z US, 60753159 2005-12-21T23:59:59.000Z US]",A21D 13/00;A21D 13/00,SADOW BERNARD D,Sadow Bernard D.,NA
US6557260,07.05.2003,Even-slice pizza cutter,[09243882 1999-02-03T23:59:59.000Z US],A21C 15/04;A21C 15/04,MORRIS KENNETH A.,"Morris, Kenneth A.",NA
US20140290068,03.10.2014,MULTI SLICE PIZZA CUTTER,NA,A21C 15/04,NA,NA,NA
CA2259293,09.01.1998,DIVIDED PIZZA WITH ADJOINING CRUST SEGMENTS,"[08/673,337 1996-06-28T23:59:59.000Z US]",A21D 13/00,"PAULUCCI, JENO F.","PAULUCCI, JENO F.",NA
CA2046836,08.11.1992,PIZZA BOX,"[07/695,920 1991-05-06T23:59:59.000Z US]",B65D 81/34;H05B 6/80,NA,"BECKETT, D. GREGORY",NA
US20110185919,05.08.2011,Modular pizza cart,NA,A47J 37/00,Yglesias Guillermo Julio,Yglesias Guillermo Julio,NA
US6068313,31.05.2000,Pizza paddle device,NA,A47J 43/28;A21B 3/00;A21B 3/00,CASPER; GARY D.;CASPER; JENNIFER P.,Casper Gary D.;Casper Jennifer P.,NA
CA2096021,15.05.1992,"METHOD OF MAKING A PIZZA, PIZZA TOPPINGS DISK AND APPARATUS FOR MAKING SAME","[613,249 1990-11-13T23:59:59.000Z US, 746,657 1991-08-16T23:59:59.000Z US]",A21C 9/04;A23P 1/08,NA,"MCDONALD, JANE M.;BINGHAM, LYNN R.;HIGGINS, LORI B.;JENNINGS, KATHRYN M.;KOEPPE, SUSAN;O'NEILL, EDWARD;MOSHIER, MARK W.;BEHM, LARRY R.;JAAX, SUSAN L.",NA
US20100306136,03.12.2010,Pizza Business Model,[0909440 2009-06-01T23:59:59.000Z GB],G06Q 90/00,GOOLAB ANTHONY,Goolab Anthony,NA
US5503063,03.04.1996,Pizza crisper,NA,A47J 37/01;A21B 3/00;A21B 3/13;A47J 37/01;A47J 37/01;A47J 37/10;A47J 37/10,"Ekco Housewares, Inc.",Sebald Robert V.,NA
CA2358139,05.04.2002,MICROWAVEABLE PIZZA CRUST,"[09/679,484 2000-10-04T23:59:59.000Z US]",A21D 13/00;A21D 2/16;A21D 2/18;A21D 10/00;A23P 1/08,"KRAFT FOODS HOLDINGS, INC.","MCPHERSON, ANDREW E.;CHEN, WEIZHI;AKASHE, AHMAD;MILLER, MIRANDA",NA
US4836593,07.06.1989,Pizza utensil,NA,A47G 21/00;A47G 21/00,COOLEY JOHN,Cooley John,NA
US20130142935,07.06.2013,PROTEIN-BASED PIZZA CRUST,NA,A23L 1/315;A23L 1/36,ALY MOHAMED ELHOSINY,ALY MOHAMED ELHOSINY,NA
CA2308557,18.11.2000,DEEP DISH PIZZA CRUST,"[134,569 1999-05-17T23:59:59.000Z US]",A21D 13/00;A21C 11/00;A21D 10/02;A21D 15/00;A23L 1/10;B65D 5/28;B65D 5/42;B65D 77/04;B65D 85/36,"KRAFT FOODS, INC.","RODE, MARY AMANDA;PAULOS, WILLIAM THEODORE;FORNECK, KEITH DANIEL",NA
EP1199217,25.04.2002,Pizza preparation & delivering method,[00122736 2000-10-18T23:59:59.000Z EP],A21D 8/00;B60P 3/025;A23L 1/48;A21D 13/00;A21B 1/00;A21D 15/02;A21D 8/00;F24B 1/20;A21D 13/00;A21D 15/02;B60P 3/025;B60P 3/14,NESTLE SA,BLANCHET JEAN;CATHELIN HERVE;HEBERT CHRISTIAN;NOUYRIT OLIVIER,NA
US4574479,12.03.1986,Pizza cutter,NA,A47J 43/28;A47G 21/00;A47G 21/04;B26B 3/00;B26B 3/00;B26B 27/00;B26B 27/00,GRAMANN HUGH D,Gramann Hugh D.,NA
US20120175367,13.07.2012,Reusable Pizza Pan Set,NA,B65D 51/00,Lopes Susan;Saake Jeffrey,Lopes Susan;Saake Jeffrey,NA
US5253800,20.10.1993,Pizza tray,NA,B65B 5/20;B65D 5/20;B65D 5/20,Arvco Container Corporation,France Stephen L.,NA
US5423477,14.06.1995,Pizza box,[07860177 1992-03-30T23:59:59.000Z US],B65D 43/03;B65D 1/34;B65D 21/02;B65D 43/06;B65D 21/02;B65D 81/26;B65D 81/26;B65D 81/38;B65D 81/38,Invention Machine Corporation,Valdman Michael;Schum Michael,NA
EP0471095,20.02.1992,MACHINE FOR PRODUCING A PIZZA,[90115057 1990-08-06T23:59:59.000Z EP],A21C 11/00;A21C 11/00;A21C 11/10,FRISCO-FINDUS AG,"WADELL, LARS GUSTAF ALBERT",NA
