Year,Applications,Growth-rate (%)
1995,1047700,NA
1996,1088800,3.9
1997,1163400,6.9
1998,1214900,4.4
1999,1269000,4.5
2000,1377800,8.6
2001,1456500,5.7
2002,1443300,-0.9
2003,1485800,2.9
2004,1570100,5.7
2005,1703600,8.5
2006,1794300,5.3
2007,1866000,4
2008,1914800,2.6
2009,1846800,-3.6
2010,1987600,7.6
2011,2149000,8.1
2012,2347700,9.2
