"type","office","office_code","origin","technology_original","technology_number","technology","year","count"
"Region","Latin America and the Caribbean","R4","Resident","12 - Control",12,"Control","1984",5
"Region","Latin America and the Caribbean","R4","Resident","13 - Medical technology",13,"Medical technology","1984",11
"Region","Latin America and the Caribbean","R4","Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1984",2
"Region","Latin America and the Caribbean","R4","Resident","15 - Biotechnology",15,"Biotechnology","1984",1
"Region","Latin America and the Caribbean","R4","Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1984",1
"Region","Latin America and the Caribbean","R4","Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1984",1
"Region","Latin America and the Caribbean","R4","Resident","18 - Food chemistry",18,"Food chemistry","1984",1
"Region","Latin America and the Caribbean","R4","Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1984",1
"Region","Latin America and the Caribbean","R4","Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1984",8
"Region","Latin America and the Caribbean","R4","Resident","21 - Surface technology, coating",21,"Surface technology, coating","1984",2
"Region","Latin America and the Caribbean","R4","Resident","23 - Chemical engineering",23,"Chemical engineering","1984",4
"Region","Latin America and the Caribbean","R4","Resident","25 - Handling",25,"Handling","1984",17
"Region","Latin America and the Caribbean","R4","Resident","26 - Machine tools",26,"Machine tools","1984",6
"Region","Latin America and the Caribbean","R4","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1984",7
"Region","Latin America and the Caribbean","R4","Resident","28 - Textile and paper machines",28,"Textile and paper machines","1984",4
"Region","Latin America and the Caribbean","R4","Resident","29 - Other special machines",29,"Other special machines","1984",26
"Region","Latin America and the Caribbean","R4","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1984",6
"Region","Latin America and the Caribbean","R4","Resident","31 - Mechanical elements",31,"Mechanical elements","1984",18
"Region","Latin America and the Caribbean","R4","Resident","32 - Transport",32,"Transport","1984",16
"Region","Latin America and the Caribbean","R4","Resident","33 - Furniture, games",33,"Furniture, games","1984",22
"Region","Latin America and the Caribbean","R4","Resident","34 - Other consumer goods",34,"Other consumer goods","1984",15
"Region","Latin America and the Caribbean","R4","Resident","35 - Civil engineering",35,"Civil engineering","1984",51
"Region","Latin America and the Caribbean","R4","Non-Resident","0 - Unknown",0,"Unknown","1984",87
"Region","Latin America and the Caribbean","R4","Non-Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1984",209
"Region","Latin America and the Caribbean","R4","Non-Resident","2 - Audio-visual technology",2,"Audio-visual technology","1984",66
"Region","Latin America and the Caribbean","R4","Non-Resident","3 - Telecommunications",3,"Telecommunications","1984",65
"Region","Latin America and the Caribbean","R4","Non-Resident","4 - Digital communication",4,"Digital communication","1984",22
"Region","Latin America and the Caribbean","R4","Non-Resident","5 - Basic communication processes",5,"Basic communication processes","1984",32
"Region","Latin America and the Caribbean","R4","Non-Resident","6 - Computer technology",6,"Computer technology","1984",21
"Region","Latin America and the Caribbean","R4","Non-Resident","8 - Semiconductors",8,"Semiconductors","1984",10
"Region","Latin America and the Caribbean","R4","Non-Resident","9 - Optics",9,"Optics","1984",32
"Region","Latin America and the Caribbean","R4","Non-Resident","10 - Measurement",10,"Measurement","1984",92
"Region","Latin America and the Caribbean","R4","Non-Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1984",10
"Region","Latin America and the Caribbean","R4","Non-Resident","12 - Control",12,"Control","1984",33
"Region","Latin America and the Caribbean","R4","Non-Resident","13 - Medical technology",13,"Medical technology","1984",91
"Region","Latin America and the Caribbean","R4","Non-Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1984",217
"Region","Latin America and the Caribbean","R4","Non-Resident","15 - Biotechnology",15,"Biotechnology","1984",16
"Region","Latin America and the Caribbean","R4","Non-Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1984",106
"Region","Latin America and the Caribbean","R4","Non-Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1984",79
"Region","Latin America and the Caribbean","R4","Non-Resident","18 - Food chemistry",18,"Food chemistry","1984",28
"Region","Latin America and the Caribbean","R4","Non-Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1984",154
"Region","Latin America and the Caribbean","R4","Non-Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1984",81
"Region","Latin America and the Caribbean","R4","Non-Resident","21 - Surface technology, coating",21,"Surface technology, coating","1984",39
"Region","Latin America and the Caribbean","R4","Non-Resident","23 - Chemical engineering",23,"Chemical engineering","1984",135
"Region","Latin America and the Caribbean","R4","Non-Resident","24 - Environmental technology",24,"Environmental technology","1984",28
"Region","Latin America and the Caribbean","R4","Non-Resident","25 - Handling",25,"Handling","1984",164
"Region","Latin America and the Caribbean","R4","Non-Resident","26 - Machine tools",26,"Machine tools","1984",120
"Region","Latin America and the Caribbean","R4","Non-Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1984",101
"Region","Latin America and the Caribbean","R4","Non-Resident","28 - Textile and paper machines",28,"Textile and paper machines","1984",118
"Region","Latin America and the Caribbean","R4","Non-Resident","29 - Other special machines",29,"Other special machines","1984",190
"Region","Latin America and the Caribbean","R4","Non-Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1984",75
"Region","Latin America and the Caribbean","R4","Non-Resident","31 - Mechanical elements",31,"Mechanical elements","1984",231
"Region","Latin America and the Caribbean","R4","Non-Resident","32 - Transport",32,"Transport","1984",188
"Region","Latin America and the Caribbean","R4","Non-Resident","33 - Furniture, games",33,"Furniture, games","1984",96
"Region","Latin America and the Caribbean","R4","Non-Resident","34 - Other consumer goods",34,"Other consumer goods","1984",85
"Region","Latin America and the Caribbean","R4","Non-Resident","35 - Civil engineering",35,"Civil engineering","1984",194
"Region","North America","R5","Resident","0 - Unknown",0,"Unknown","1984",86
"Region","North America","R5","Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1984",2884
"Region","North America","R5","Resident","2 - Audio-visual technology",2,"Audio-visual technology","1984",1173
"Region","North America","R5","Resident","3 - Telecommunications",3,"Telecommunications","1984",784
"Region","North America","R5","Resident","4 - Digital communication",4,"Digital communication","1984",195
"Region","North America","R5","Resident","5 - Basic communication processes",5,"Basic communication processes","1984",715
"Region","North America","R5","Resident","6 - Computer technology",6,"Computer technology","1984",978
"Region","North America","R5","Resident","7 - IT methods for management",7,"IT methods for management","1984",14
"Region","North America","R5","Resident","8 - Semiconductors",8,"Semiconductors","1984",653
"Region","North America","R5","Resident","9 - Optics",9,"Optics","1984",1227
"Region","North America","R5","Resident","10 - Measurement",10,"Measurement","1984",2271
"Region","North America","R5","Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1984",224
"Region","North America","R5","Resident","12 - Control",12,"Control","1984",666
"Region","North America","R5","Resident","13 - Medical technology",13,"Medical technology","1984",1606
"Region","North America","R5","Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1984",1944
"Region","North America","R5","Resident","15 - Biotechnology",15,"Biotechnology","1984",360
"Region","North America","R5","Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1984",567
"Region","North America","R5","Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1984",1407
"Region","North America","R5","Resident","18 - Food chemistry",18,"Food chemistry","1984",464
"Region","North America","R5","Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1984",1916
"Region","North America","R5","Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1984",1044
"Region","North America","R5","Resident","21 - Surface technology, coating",21,"Surface technology, coating","1984",880
"Region","North America","R5","Resident","22 - Micro-structural and nano-technology",22,"Micro-structural and nano-technology","1984",1
"Region","North America","R5","Resident","23 - Chemical engineering",23,"Chemical engineering","1984",1543
"Region","North America","R5","Resident","24 - Environmental technology",24,"Environmental technology","1984",563
"Region","North America","R5","Resident","25 - Handling",25,"Handling","1984",1745
"Region","North America","R5","Resident","26 - Machine tools",26,"Machine tools","1984",1710
"Region","North America","R5","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1984",1419
"Region","North America","R5","Resident","28 - Textile and paper machines",28,"Textile and paper machines","1984",980
"Region","North America","R5","Resident","29 - Other special machines",29,"Other special machines","1984",2247
"Region","North America","R5","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1984",1076
"Region","North America","R5","Resident","31 - Mechanical elements",31,"Mechanical elements","1984",1808
"Region","North America","R5","Resident","32 - Transport",32,"Transport","1984",1684
"Region","North America","R5","Resident","33 - Furniture, games",33,"Furniture, games","1984",1411
"Region","North America","R5","Resident","34 - Other consumer goods",34,"Other consumer goods","1984",1115
"Region","North America","R5","Resident","35 - Civil engineering",35,"Civil engineering","1984",2324
"Region","North America","R5","Non-Resident","0 - Unknown",0,"Unknown","1984",289
"Region","North America","R5","Non-Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1984",3076
"Region","North America","R5","Non-Resident","2 - Audio-visual technology",2,"Audio-visual technology","1984",1602
"Region","North America","R5","Non-Resident","3 - Telecommunications",3,"Telecommunications","1984",796
"Region","North America","R5","Non-Resident","4 - Digital communication",4,"Digital communication","1984",233
"Region","North America","R5","Non-Resident","5 - Basic communication processes",5,"Basic communication processes","1984",720
"Region","North America","R5","Non-Resident","6 - Computer technology",6,"Computer technology","1984",857
"Region","North America","R5","Non-Resident","7 - IT methods for management",7,"IT methods for management","1984",22
"Region","North America","R5","Non-Resident","8 - Semiconductors",8,"Semiconductors","1984",631
"Region","North America","R5","Non-Resident","9 - Optics",9,"Optics","1984",2158
"Region","North America","R5","Non-Resident","10 - Measurement",10,"Measurement","1984",2316
"Region","North America","R5","Non-Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1984",209
"Region","North America","R5","Non-Resident","12 - Control",12,"Control","1984",687
"Region","North America","R5","Non-Resident","13 - Medical technology",13,"Medical technology","1984",1216
"Region","North America","R5","Non-Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1984",2423
"Region","North America","R5","Non-Resident","15 - Biotechnology",15,"Biotechnology","1984",452
"Region","North America","R5","Non-Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1984",1042
"Region","North America","R5","Non-Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1984",1631
"Region","North America","R5","Non-Resident","18 - Food chemistry",18,"Food chemistry","1984",503
"Region","North America","R5","Non-Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1984",1934
"Region","North America","R5","Non-Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1984",1639
"Region","North America","R5","Non-Resident","21 - Surface technology, coating",21,"Surface technology, coating","1984",1026
"Region","North America","R5","Non-Resident","22 - Micro-structural and nano-technology",22,"Micro-structural and nano-technology","1984",1
"Region","North America","R5","Non-Resident","23 - Chemical engineering",23,"Chemical engineering","1984",1825
"Region","North America","R5","Non-Resident","24 - Environmental technology",24,"Environmental technology","1984",616
"Region","North America","R5","Non-Resident","25 - Handling",25,"Handling","1984",1804
"Region","North America","R5","Non-Resident","26 - Machine tools",26,"Machine tools","1984",1840
"Region","North America","R5","Non-Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1984",2295
"Region","North America","R5","Non-Resident","28 - Textile and paper machines",28,"Textile and paper machines","1984",1841
"Region","North America","R5","Non-Resident","29 - Other special machines",29,"Other special machines","1984",2016
"Region","North America","R5","Non-Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1984",1177
"Region","North America","R5","Non-Resident","31 - Mechanical elements",31,"Mechanical elements","1984",2064
"Region","North America","R5","Non-Resident","32 - Transport",32,"Transport","1984",2014
"Region","North America","R5","Non-Resident","33 - Furniture, games",33,"Furniture, games","1984",851
"Region","North America","R5","Non-Resident","34 - Other consumer goods",34,"Other consumer goods","1984",1009
"Region","North America","R5","Non-Resident","35 - Civil engineering",35,"Civil engineering","1984",1854
"Region","Oceania","R6","Resident","0 - Unknown",0,"Unknown","1984",5
"Region","Oceania","R6","Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1984",14
"Region","Oceania","R6","Resident","2 - Audio-visual technology",2,"Audio-visual technology","1984",5
"Region","Oceania","R6","Resident","3 - Telecommunications",3,"Telecommunications","1984",2
"Region","Oceania","R6","Resident","5 - Basic communication processes",5,"Basic communication processes","1984",1
"Region","Oceania","R6","Resident","6 - Computer technology",6,"Computer technology","1984",1
"Region","Oceania","R6","Resident","9 - Optics",9,"Optics","1984",2
"Region","Oceania","R6","Resident","10 - Measurement",10,"Measurement","1984",9
"Region","Oceania","R6","Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1984",5
"Region","Oceania","R6","Resident","12 - Control",12,"Control","1984",6
"Region","Oceania","R6","Resident","13 - Medical technology",13,"Medical technology","1984",9
"Region","Oceania","R6","Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1984",11
"Region","Oceania","R6","Resident","15 - Biotechnology",15,"Biotechnology","1984",4
"Region","Oceania","R6","Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1984",7
"Region","Oceania","R6","Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1984",3
"Region","Oceania","R6","Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1984",13
"Region","Oceania","R6","Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1984",8
"Region","Oceania","R6","Resident","21 - Surface technology, coating",21,"Surface technology, coating","1984",4
"Region","Oceania","R6","Resident","23 - Chemical engineering",23,"Chemical engineering","1984",28
"Region","Oceania","R6","Resident","24 - Environmental technology",24,"Environmental technology","1984",8
"Region","Oceania","R6","Resident","25 - Handling",25,"Handling","1984",27
"Region","Oceania","R6","Resident","26 - Machine tools",26,"Machine tools","1984",15
"Region","Oceania","R6","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1984",6
"Region","Oceania","R6","Resident","28 - Textile and paper machines",28,"Textile and paper machines","1984",4
"Region","Oceania","R6","Resident","29 - Other special machines",29,"Other special machines","1984",25
"Region","Oceania","R6","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1984",15
"Region","Oceania","R6","Resident","31 - Mechanical elements",31,"Mechanical elements","1984",20
"Region","Oceania","R6","Resident","32 - Transport",32,"Transport","1984",14
"Region","Oceania","R6","Resident","33 - Furniture, games",33,"Furniture, games","1984",13
"Region","Oceania","R6","Resident","34 - Other consumer goods",34,"Other consumer goods","1984",6
"Region","Oceania","R6","Resident","35 - Civil engineering",35,"Civil engineering","1984",39
"Region","Oceania","R6","Non-Resident","0 - Unknown",0,"Unknown","1984",68
"Region","Oceania","R6","Non-Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1984",356
"Region","Oceania","R6","Non-Resident","2 - Audio-visual technology",2,"Audio-visual technology","1984",254
"Region","Oceania","R6","Non-Resident","3 - Telecommunications",3,"Telecommunications","1984",129
"Region","Oceania","R6","Non-Resident","4 - Digital communication",4,"Digital communication","1984",31
"Region","Oceania","R6","Non-Resident","5 - Basic communication processes",5,"Basic communication processes","1984",79
"Region","Oceania","R6","Non-Resident","6 - Computer technology",6,"Computer technology","1984",136
"Region","Oceania","R6","Non-Resident","7 - IT methods for management",7,"IT methods for management","1984",3
"Region","Oceania","R6","Non-Resident","8 - Semiconductors",8,"Semiconductors","1984",37
"Region","Oceania","R6","Non-Resident","9 - Optics",9,"Optics","1984",111
"Region","Oceania","R6","Non-Resident","10 - Measurement",10,"Measurement","1984",224
"Region","Oceania","R6","Non-Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1984",39
"Region","Oceania","R6","Non-Resident","12 - Control",12,"Control","1984",88
"Region","Oceania","R6","Non-Resident","13 - Medical technology",13,"Medical technology","1984",221
"Region","Oceania","R6","Non-Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1984",844
"Region","Oceania","R6","Non-Resident","15 - Biotechnology",15,"Biotechnology","1984",139
"Region","Oceania","R6","Non-Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1984",559
"Region","Oceania","R6","Non-Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1984",304
"Region","Oceania","R6","Non-Resident","18 - Food chemistry",18,"Food chemistry","1984",131
"Region","Oceania","R6","Non-Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1984",556
"Region","Oceania","R6","Non-Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1984",329
"Region","Oceania","R6","Non-Resident","21 - Surface technology, coating",21,"Surface technology, coating","1984",222
"Region","Oceania","R6","Non-Resident","23 - Chemical engineering",23,"Chemical engineering","1984",456
"Region","Oceania","R6","Non-Resident","24 - Environmental technology",24,"Environmental technology","1984",130
"Region","Oceania","R6","Non-Resident","25 - Handling",25,"Handling","1984",463
"Region","Oceania","R6","Non-Resident","26 - Machine tools",26,"Machine tools","1984",275
"Region","Oceania","R6","Non-Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1984",203
"Region","Oceania","R6","Non-Resident","28 - Textile and paper machines",28,"Textile and paper machines","1984",217
"Region","Oceania","R6","Non-Resident","29 - Other special machines",29,"Other special machines","1984",497
"Region","Oceania","R6","Non-Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1984",225
"Region","Oceania","R6","Non-Resident","31 - Mechanical elements",31,"Mechanical elements","1984",398
"Region","Oceania","R6","Non-Resident","32 - Transport",32,"Transport","1984",328
"Region","Oceania","R6","Non-Resident","33 - Furniture, games",33,"Furniture, games","1984",173
"Region","Oceania","R6","Non-Resident","34 - Other consumer goods",34,"Other consumer goods","1984",209
"Region","Oceania","R6","Non-Resident","35 - Civil engineering",35,"Civil engineering","1984",507
"Region","Africa","R1","Resident","0 - Unknown",0,"Unknown","1985",300
"Region","Africa","R1","Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1985",2
"Region","Africa","R1","Resident","10 - Measurement",10,"Measurement","1985",2
"Region","Africa","R1","Resident","12 - Control",12,"Control","1985",1
"Region","Africa","R1","Resident","13 - Medical technology",13,"Medical technology","1985",1
"Region","Africa","R1","Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1985",1
"Region","Africa","R1","Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1985",1
"Region","Africa","R1","Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1985",2
"Region","Africa","R1","Resident","23 - Chemical engineering",23,"Chemical engineering","1985",1
"Region","Africa","R1","Resident","24 - Environmental technology",24,"Environmental technology","1985",1
"Region","Africa","R1","Resident","25 - Handling",25,"Handling","1985",2
"Region","Africa","R1","Resident","26 - Machine tools",26,"Machine tools","1985",1
"Region","Africa","R1","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1985",1
"Region","Africa","R1","Resident","29 - Other special machines",29,"Other special machines","1985",2
"Region","Africa","R1","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1985",5
"Region","Africa","R1","Resident","31 - Mechanical elements",31,"Mechanical elements","1985",1
"Region","Africa","R1","Resident","32 - Transport",32,"Transport","1985",1
"Region","Africa","R1","Resident","34 - Other consumer goods",34,"Other consumer goods","1985",1
"Region","Africa","R1","Resident","35 - Civil engineering",35,"Civil engineering","1985",2
"Region","Africa","R1","Non-Resident","0 - Unknown",0,"Unknown","1985",1176
"Region","Africa","R1","Non-Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1985",235
"Region","Africa","R1","Non-Resident","2 - Audio-visual technology",2,"Audio-visual technology","1985",66
"Region","Africa","R1","Non-Resident","3 - Telecommunications",3,"Telecommunications","1985",54
"Region","Africa","R1","Non-Resident","4 - Digital communication",4,"Digital communication","1985",13
"Region","Africa","R1","Non-Resident","5 - Basic communication processes",5,"Basic communication processes","1985",30
"Region","Africa","R1","Non-Resident","6 - Computer technology",6,"Computer technology","1985",37
"Region","Africa","R1","Non-Resident","7 - IT methods for management",7,"IT methods for management","1985",1
"Region","Africa","R1","Non-Resident","8 - Semiconductors",8,"Semiconductors","1985",18
"Region","Africa","R1","Non-Resident","9 - Optics",9,"Optics","1985",67
"Region","Africa","R1","Non-Resident","10 - Measurement",10,"Measurement","1985",136
"Region","Africa","R1","Non-Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1985",40
"Region","Africa","R1","Non-Resident","12 - Control",12,"Control","1985",47
"Region","Africa","R1","Non-Resident","13 - Medical technology",13,"Medical technology","1985",189
"Region","Africa","R1","Non-Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1985",904
"Region","Africa","R1","Non-Resident","15 - Biotechnology",15,"Biotechnology","1985",167
"Region","Africa","R1","Non-Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1985",621
"Region","Africa","R1","Non-Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1985",184
"Region","Africa","R1","Non-Resident","18 - Food chemistry",18,"Food chemistry","1985",130
"Region","Africa","R1","Non-Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1985",708
"Region","Africa","R1","Non-Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1985",370
"Region","Africa","R1","Non-Resident","21 - Surface technology, coating",21,"Surface technology, coating","1985",168
"Region","Africa","R1","Non-Resident","23 - Chemical engineering",23,"Chemical engineering","1985",377
"Region","Africa","R1","Non-Resident","24 - Environmental technology",24,"Environmental technology","1985",112
"Region","Africa","R1","Non-Resident","25 - Handling",25,"Handling","1985",312
"Region","Africa","R1","Non-Resident","26 - Machine tools",26,"Machine tools","1985",156
"Region","Africa","R1","Non-Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1985",117
"Region","Africa","R1","Non-Resident","28 - Textile and paper machines",28,"Textile and paper machines","1985",133
"Region","Africa","R1","Non-Resident","29 - Other special machines",29,"Other special machines","1985",309
"Region","Africa","R1","Non-Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1985",150
"Region","Africa","R1","Non-Resident","31 - Mechanical elements",31,"Mechanical elements","1985",240
"Region","Africa","R1","Non-Resident","32 - Transport",32,"Transport","1985",201
"Region","Africa","R1","Non-Resident","33 - Furniture, games",33,"Furniture, games","1985",108
"Region","Africa","R1","Non-Resident","34 - Other consumer goods",34,"Other consumer goods","1985",119
"Region","Africa","R1","Non-Resident","35 - Civil engineering",35,"Civil engineering","1985",308
"Region","Asia","R2","Resident","0 - Unknown",0,"Unknown","1985",61
"Region","Asia","R2","Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1985",29
"Region","Asia","R2","Resident","2 - Audio-visual technology",2,"Audio-visual technology","1985",25
"Region","Asia","R2","Resident","3 - Telecommunications",3,"Telecommunications","1985",16
"Region","Asia","R2","Resident","5 - Basic communication processes",5,"Basic communication processes","1985",6
"Region","Asia","R2","Resident","6 - Computer technology",6,"Computer technology","1985",10
"Region","Asia","R2","Resident","8 - Semiconductors",8,"Semiconductors","1985",5
"Region","Asia","R2","Resident","9 - Optics",9,"Optics","1985",12
"Region","Asia","R2","Resident","10 - Measurement",10,"Measurement","1985",15
"Region","Asia","R2","Resident","12 - Control",12,"Control","1985",4
"Region","Asia","R2","Resident","13 - Medical technology",13,"Medical technology","1985",10
"Region","Asia","R2","Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1985",29
"Region","Asia","R2","Resident","15 - Biotechnology",15,"Biotechnology","1985",10
"Region","Asia","R2","Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1985",4
"Region","Asia","R2","Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1985",8
"Region","Asia","R2","Resident","18 - Food chemistry",18,"Food chemistry","1985",48
"Region","Asia","R2","Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1985",38
"Region","Asia","R2","Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1985",19
"Region","Asia","R2","Resident","21 - Surface technology, coating",21,"Surface technology, coating","1985",8
"Region","Asia","R2","Resident","23 - Chemical engineering",23,"Chemical engineering","1985",12
"Region","Asia","R2","Resident","24 - Environmental technology",24,"Environmental technology","1985",6
"Region","Asia","R2","Resident","25 - Handling",25,"Handling","1985",18
"Region","Asia","R2","Resident","26 - Machine tools",26,"Machine tools","1985",12
"Region","Asia","R2","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1985",8
"Region","Asia","R2","Resident","28 - Textile and paper machines",28,"Textile and paper machines","1985",50
"Region","Asia","R2","Resident","29 - Other special machines",29,"Other special machines","1985",28
"Region","Asia","R2","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1985",6
"Region","Asia","R2","Resident","31 - Mechanical elements",31,"Mechanical elements","1985",8
"Region","Asia","R2","Resident","32 - Transport",32,"Transport","1985",6
"Region","Asia","R2","Resident","33 - Furniture, games",33,"Furniture, games","1985",4
"Region","Asia","R2","Resident","34 - Other consumer goods",34,"Other consumer goods","1985",18
"Region","Asia","R2","Resident","35 - Civil engineering",35,"Civil engineering","1985",13
"Region","Asia","R2","Non-Resident","0 - Unknown",0,"Unknown","1985",179
"Region","Asia","R2","Non-Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1985",340
"Region","Asia","R2","Non-Resident","2 - Audio-visual technology",2,"Audio-visual technology","1985",268
"Region","Asia","R2","Non-Resident","3 - Telecommunications",3,"Telecommunications","1985",79
"Region","Asia","R2","Non-Resident","4 - Digital communication",4,"Digital communication","1985",22
"Region","Asia","R2","Non-Resident","5 - Basic communication processes",5,"Basic communication processes","1985",136
"Region","Asia","R2","Non-Resident","6 - Computer technology",6,"Computer technology","1985",93
"Region","Asia","R2","Non-Resident","8 - Semiconductors",8,"Semiconductors","1985",72
"Region","Asia","R2","Non-Resident","9 - Optics",9,"Optics","1985",146
"Region","Asia","R2","Non-Resident","10 - Measurement",10,"Measurement","1985",197
"Region","Asia","R2","Non-Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1985",17
"Region","Asia","R2","Non-Resident","12 - Control",12,"Control","1985",75
"Region","Asia","R2","Non-Resident","13 - Medical technology",13,"Medical technology","1985",120
"Region","Asia","R2","Non-Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1985",885
"Region","Asia","R2","Non-Resident","15 - Biotechnology",15,"Biotechnology","1985",91
"Region","Asia","R2","Non-Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1985",489
"Region","Asia","R2","Non-Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1985",158
"Region","Asia","R2","Non-Resident","18 - Food chemistry",18,"Food chemistry","1985",103
"Region","Asia","R2","Non-Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1985",456
"Region","Asia","R2","Non-Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1985",247
"Region","Asia","R2","Non-Resident","21 - Surface technology, coating",21,"Surface technology, coating","1985",139
"Region","Asia","R2","Non-Resident","23 - Chemical engineering",23,"Chemical engineering","1985",200
"Region","Asia","R2","Non-Resident","24 - Environmental technology",24,"Environmental technology","1985",61
"Region","Asia","R2","Non-Resident","25 - Handling",25,"Handling","1985",294
"Region","Asia","R2","Non-Resident","26 - Machine tools",26,"Machine tools","1985",220
"Region","Asia","R2","Non-Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1985",120
"Region","Asia","R2","Non-Resident","28 - Textile and paper machines",28,"Textile and paper machines","1985",175
"Region","Asia","R2","Non-Resident","29 - Other special machines",29,"Other special machines","1985",248
"Region","Asia","R2","Non-Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1985",125
