"type","office","office_code","origin","technology_original","technology_number","technology","year","count"
"Region","Asia","R2","Resident","23 - Chemical engineering",23,"Chemical engineering","1980",6
"Region","Asia","R2","Resident","24 - Environmental technology",24,"Environmental technology","1980",1
"Region","Asia","R2","Resident","25 - Handling",25,"Handling","1980",4
"Region","Asia","R2","Resident","26 - Machine tools",26,"Machine tools","1980",2
"Region","Asia","R2","Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1980",6
"Region","Asia","R2","Resident","28 - Textile and paper machines",28,"Textile and paper machines","1980",14
"Region","Asia","R2","Resident","29 - Other special machines",29,"Other special machines","1980",2
"Region","Asia","R2","Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1980",1
"Region","Asia","R2","Resident","31 - Mechanical elements",31,"Mechanical elements","1980",2
"Region","Asia","R2","Resident","32 - Transport",32,"Transport","1980",4
"Region","Asia","R2","Resident","33 - Furniture, games",33,"Furniture, games","1980",3
"Region","Asia","R2","Resident","34 - Other consumer goods",34,"Other consumer goods","1980",11
"Region","Asia","R2","Resident","35 - Civil engineering",35,"Civil engineering","1980",4
"Region","Asia","R2","Non-Resident","0 - Unknown",0,"Unknown","1980",331
"Region","Asia","R2","Non-Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1980",139
"Region","Asia","R2","Non-Resident","2 - Audio-visual technology",2,"Audio-visual technology","1980",112
"Region","Asia","R2","Non-Resident","3 - Telecommunications",3,"Telecommunications","1980",35
"Region","Asia","R2","Non-Resident","4 - Digital communication",4,"Digital communication","1980",7
"Region","Asia","R2","Non-Resident","5 - Basic communication processes",5,"Basic communication processes","1980",38
"Region","Asia","R2","Non-Resident","6 - Computer technology",6,"Computer technology","1980",27
"Region","Asia","R2","Non-Resident","7 - IT methods for management",7,"IT methods for management","1980",3
"Region","Asia","R2","Non-Resident","8 - Semiconductors",8,"Semiconductors","1980",41
"Region","Asia","R2","Non-Resident","9 - Optics",9,"Optics","1980",42
"Region","Asia","R2","Non-Resident","10 - Measurement",10,"Measurement","1980",98
"Region","Asia","R2","Non-Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1980",5
"Region","Asia","R2","Non-Resident","12 - Control",12,"Control","1980",28
"Region","Asia","R2","Non-Resident","13 - Medical technology",13,"Medical technology","1980",50
"Region","Asia","R2","Non-Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1980",686
"Region","Asia","R2","Non-Resident","15 - Biotechnology",15,"Biotechnology","1980",38
"Region","Asia","R2","Non-Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1980",234
"Region","Asia","R2","Non-Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1980",124
"Region","Asia","R2","Non-Resident","18 - Food chemistry",18,"Food chemistry","1980",73
"Region","Asia","R2","Non-Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1980",290
"Region","Asia","R2","Non-Resident","20 - Materials, metallurgy",20,"Materials, metallurgy","1980",172
"Region","Asia","R2","Non-Resident","21 - Surface technology, coating",21,"Surface technology, coating","1980",93
"Region","Asia","R2","Non-Resident","23 - Chemical engineering",23,"Chemical engineering","1980",171
"Region","Asia","R2","Non-Resident","24 - Environmental technology",24,"Environmental technology","1980",45
"Region","Asia","R2","Non-Resident","25 - Handling",25,"Handling","1980",92
"Region","Asia","R2","Non-Resident","26 - Machine tools",26,"Machine tools","1980",98
"Region","Asia","R2","Non-Resident","27 - Engines, pumps, turbines",27,"Engines, pumps, turbines","1980",71
"Region","Asia","R2","Non-Resident","28 - Textile and paper machines",28,"Textile and paper machines","1980",214
"Region","Asia","R2","Non-Resident","29 - Other special machines",29,"Other special machines","1980",138
"Region","Asia","R2","Non-Resident","30 - Thermal processes and apparatus",30,"Thermal processes and apparatus","1980",51
"Region","Asia","R2","Non-Resident","31 - Mechanical elements",31,"Mechanical elements","1980",57
"Region","Asia","R2","Non-Resident","32 - Transport",32,"Transport","1980",73
"Region","Asia","R2","Non-Resident","33 - Furniture, games",33,"Furniture, games","1980",56
"Region","Asia","R2","Non-Resident","34 - Other consumer goods",34,"Other consumer goods","1980",109
"Region","Asia","R2","Non-Resident","35 - Civil engineering",35,"Civil engineering","1980",165
"Region","Europe","R3","Resident","0 - Unknown",0,"Unknown","1980",3912
"Region","Europe","R3","Resident","1 - Electrical machinery, apparatus, energy",1,"Electrical machinery, apparatus, energy","1980",7308
"Region","Europe","R3","Resident","2 - Audio-visual technology",2,"Audio-visual technology","1980",1774
"Region","Europe","R3","Resident","3 - Telecommunications",3,"Telecommunications","1980",1353
"Region","Europe","R3","Resident","4 - Digital communication",4,"Digital communication","1980",422
"Region","Europe","R3","Resident","5 - Basic communication processes",5,"Basic communication processes","1980",3062
"Region","Europe","R3","Resident","6 - Computer technology",6,"Computer technology","1980",3133
"Region","Europe","R3","Resident","7 - IT methods for management",7,"IT methods for management","1980",6
"Region","Europe","R3","Resident","8 - Semiconductors",8,"Semiconductors","1980",478
"Region","Europe","R3","Resident","9 - Optics",9,"Optics","1980",1116
"Region","Europe","R3","Resident","10 - Measurement",10,"Measurement","1980",9532
"Region","Europe","R3","Resident","11 - Analysis of biological materials",11,"Analysis of biological materials","1980",351
"Region","Europe","R3","Resident","12 - Control",12,"Control","1980",2697
"Region","Europe","R3","Resident","13 - Medical technology",13,"Medical technology","1980",1492
"Region","Europe","R3","Resident","14 - Organic fine chemistry",14,"Organic fine chemistry","1980",2847
"Region","Europe","R3","Resident","15 - Biotechnology",15,"Biotechnology","1980",465
"Region","Europe","R3","Resident","16 - Pharmaceuticals",16,"Pharmaceuticals","1980",573
"Region","Europe","R3","Resident","17 - Macromolecular chemistry, polymers",17,"Macromolecular chemistry, polymers","1980",1873
"Region","Europe","R3","Resident","18 - Food chemistry",18,"Food chemistry","1980",825
"Region","Europe","R3","Resident","19 - Basic materials chemistry",19,"Basic materials chemistry","1980",2195
