applicants_orgs_all,publication_number,applicants_orgs_all_1
"Body Structures, Inc",US20080089978,"Body Structures, Inc"
Igloo Products Corp,WO2002038001,Igloo Products Corp
"Pizza Hut, Inc",EP0843517,"Pizza Hut, Inc"
"Schwan Sales Enterprises, Inc",US20100266733,"Schwan Sales Enterprises, Inc"
Leprino Foods Company,US4753815,Leprino Foods Company
Igloo Products Corp,US6471065,Igloo Products Corp
"Pizza Hut, Inc",US4919477,"Pizza Hut, Inc"
Artos S.A,EP1399024,Artos S.A
Nestec,US5207151,Nestec
Ensar Corporation,US4423551,Ensar Corporation
The Stouffer Corporation,US5260070,The Stouffer Corporation
Anchor Hocking Corporation,US5526735,Anchor Hocking Corporation
"LuiginoS, Inc",CA2225610,"LuiginoS, Inc"
Diffusione Moromare In Franchising S.R.L,EP0697815,Diffusione Moromare In Franchising S.R.L
Cmt Costr Mecc & Tec,EP1168926,Cmt Costr Mecc & Tec
"LuiginoS, Inc",WO1997001960,"LuiginoS, Inc"
Cmt Costruzioni Meccaniche E Tecnologia S.P.A,CA2359766,Cmt Costruzioni Meccaniche E Tecnologia S.P.A
Cmt Costr Mecc & Tec,EP2181599,Cmt Costr Mecc & Tec
"Little Caesar Enterprises, Inc",WO2012115699,"Little Caesar Enterprises, Inc"
"Silverback Environments, Inc",WO1995000058,"Silverback Environments, Inc"
Proprocess Corporation,US5417149,Proprocess Corporation
"Pizza Enterprises, Inc",US4791861,"Pizza Enterprises, Inc"
Kraft Foods North America Inc,EP1053681,Kraft Foods North America Inc
"Ito Co., Ltd",EP0516428,"Ito Co., Ltd"
"Ito Co., Ltd",US5405627,"Ito Co., Ltd"
The Quaker Oats Company,US4283424,The Quaker Oats Company
Kolpak Manufacturing Company,US4922626,Kolpak Manufacturing Company
"K & G Enterprises, Llc",CA2678558,"K & G Enterprises, Llc"
Mlp Operating Company,WO1997042826,Mlp Operating Company
"Pizza Hut, Inc",CA2487974,"Pizza Hut, Inc"
Nestec,US5165942,Nestec
"Lawrence Equipment, Inc",US6398539,"Lawrence Equipment, Inc"
"Schwan Sales Enterprises, Inc",EP0107289,"Schwan Sales Enterprises, Inc"
C.M.T. Costruzioni Meccaniche E Technologia S.P.A,US6363838,C.M.T. Costruzioni Meccaniche E Technologia S.P.A
H.J. Heinz Frozen & Chilled Foods Limited,WO2003001917,H.J. Heinz Frozen & Chilled Foods Limited
"Kbell Pizza Enterprises, L.L.C.A",US6431628,"Kbell Pizza Enterprises, L.L.C.A"
"Pizza Box 2000, Inc",EP1507720,"Pizza Box 2000, Inc"
Be Love S R L,EP2551076,Be Love S R L
Wahl Clipper Corporation,US20070251098,Wahl Clipper Corporation
"Edible Technology, Inc",WO1990013229,"Edible Technology, Inc"
"ICT Manufacturing, Inc",US4924575,"ICT Manufacturing, Inc"
Diffusione Moromare In Franchising S.R.L,WO1994027446,Diffusione Moromare In Franchising S.R.L
The Pillsbury Company,US6783782,The Pillsbury Company
"Edible Technology, Inc",US5121677,"Edible Technology, Inc"
"K & G Enterprises, Llc",WO2008103907,"K & G Enterprises, Llc"
"Silverback Environments, Inc",US5417150,"Silverback Environments, Inc"
"Pizza Hut, Inc",WO2007121217,"Pizza Hut, Inc"
American Maize-Products Company,WO1994016569,American Maize-Products Company
Cmt Costruzioni Meccaniche E Tecnologia S.P.A,WO2000042857,Cmt Costruzioni Meccaniche E Tecnologia S.P.A
"Pizza Hut, Inc",WO1989008402,"Pizza Hut, Inc"
"Pizza Hut, Inc",US20070243291,"Pizza Hut, Inc"
"Pizza Box 2000, Inc",WO2003095336,"Pizza Box 2000, Inc"
Barilla Flli G & R,US5472723,Barilla Flli G & R
Progressive International Corp,US20120060378,Progressive International Corp
Shaffer Manufacturing Corp,US6156356,Shaffer Manufacturing Corp
"Ez Topping Systems, Llc",US20140087048,"Ez Topping Systems, Llc"
"K & G Enterprises, Llc",US20110059209,"K & G Enterprises, Llc"
"Sears Brands, Llc",US20100269359,"Sears Brands, Llc"
Americorp Inc,US5586488,Americorp Inc
Nestec,US5149556,Nestec
Daewoo Electronics Corporation,US20060081622,Daewoo Electronics Corporation
"Schwan Sales Enterprises, Inc",EP0104742,"Schwan Sales Enterprises, Inc"
"Kraft Foods Holdings, Inc",EP0776605,"Kraft Foods Holdings, Inc"
"Crestar Crusts, Inc",US5865107,"Crestar Crusts, Inc"
Artos S.A,WO2002100176,Artos S.A
"Quantum Technical Services, Inc",US20070221029,"Quantum Technical Services, Inc"
Nestec,US20020048624,Nestec
Grupoutil Desenvolvimento De Produtos De Utilidada Ltda,EP0431583,Grupoutil Desenvolvimento De Produtos De Utilidada Ltda
"K & G Enterprises, Llc",WO2012099969,"K & G Enterprises, Llc"
Top Vending Srl,CA2327225,Top Vending Srl
National Convenience Stores,US3975552,National Convenience Stores
Grupoutil Desenvolvimento De Produtos De Utilidada Ltda,US5129521,Grupoutil Desenvolvimento De Produtos De Utilidada Ltda
Alda Services S.A,US5780082,Alda Services S.A
"Ez Topping Systems, Llc",WO2014052402,"Ez Topping Systems, Llc"
"Kraft Foods Holdings, Inc",CA2189506,"Kraft Foods Holdings, Inc"
"Remco Technologies, Inc",US20020180226,"Remco Technologies, Inc"
"Pizza Hut, Inc",US20030209194,"Pizza Hut, Inc"
"Pizza Hut, Inc",WO2001067869,"Pizza Hut, Inc"
"Marway Industries, Llc",US6591503,"Marway Industries, Llc"
Gruppo Pluripack S.R.L,WO2006008772,Gruppo Pluripack S.R.L
